Area Code,Area Name,NHS region,Region (Governement) ,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020
E08000017,Doncaster,Yorkshire and The Humber,Yorkshire and The Humber,0,0,0,0,0,2,2,2,0,3,2,3,5,7,9,13,15,21,24,38,44,49,56,79,95,116,117
E08000018,Rotherham,Yorkshire and The Humber,Yorkshire and The Humber,0,1,1,1,1,2,2,2,1,4,3,4,6,9,12,16,20,30,39,57,60,70,78,107,129,154,158
E08000019,Sheffield,Yorkshire and The Humber,Yorkshire and The Humber,0,0,1,3,3,13,12,15,1,36,40,48,61,82,106,130,174,240,286,361,387,428,451,541,602,715,730
E08000021,Newcastle upon Tyne,North East,North East,4,4,6,6,5,5,4,5,5,13,19,21,28,34,42,49,58,80,121,135,155,186,201,225,252,284,285
E08000022,North Tyneside,North East,North East,1,1,2,2,3,2,2,3,3,7,10,12,17,18,18,20,23,27,36,46,62,71,76,87,113,133,133
E08000023,South Tyneside,North East,North East,0,0,0,0,0,0,0,0,0,2,2,2,5,5,6,8,9,10,19,22,27,31,33,44,53,56,57
E08000024,Sunderland,North East,North East,1,1,1,1,1,1,1,1,1,3,4,5,11,11,13,20,25,27,55,68,76,86,93,109,131,152,152
E08000025,Birmingham,West Midlands,West Midlands,1,1,2,2,2,5,8,15,20,25,34,54,75,91,137,187,228,290,366,428,513,578,650,734,852,984,1138
E08000026,Coventry,West Midlands,West Midlands,2,3,3,3,3,3,2,3,3,4,4,7,9,14,19,24,25,35,47,54,79,101,108,127,155,188,215
E08000027,Dudley,West Midlands,West Midlands,1,1,1,1,4,4,4,6,9,10,11,18,19,24,26,40,51,60,81,83,122,136,149,157,194,226,249
E08000028,Sandwell,West Midlands,West Midlands,0,0,0,0,0,0,1,4,6,6,7,11,15,20,31,47,50,65,103,116,138,144,158,186,215,252,283
E08000029,Solihull,West Midlands,West Midlands,0,0,0,0,0,0,0,1,1,1,1,3,4,4,8,12,19,29,39,54,74,87,117,126,141,164,183
E08000030,Walsall,West Midlands,West Midlands,0,0,0,0,1,1,5,11,13,14,16,20,28,29,37,43,60,78,100,108,125,151,176,198,231,270,309
E08000031,Wolverhampton,West Midlands,West Midlands,2,3,4,4,8,9,8,11,18,22,28,39,45,52,69,81,98,103,128,141,153,175,183,208,222,251,275
E08000032,Bradford,Yorkshire and The Humber,Yorkshire and The Humber,1,1,1,3,4,4,6,7,7,8,7,9,10,11,13,14,16,23,29,37,46,63,80,95,118,135,170
E08000033,Calderdale,Yorkshire and The Humber,Yorkshire and The Humber,0,0,0,2,2,3,5,2,3,3,3,5,5,5,7,7,7,9,11,15,29,39,44,54,60,69,69
E08000034,Kirklees,Yorkshire and The Humber,Yorkshire and The Humber,0,0,1,1,1,1,3,2,2,2,3,6,8,11,16,17,20,24,33,38,60,72,84,101,114,142,153
E08000035,Leeds,Yorkshire and The Humber,Yorkshire and The Humber,5,5,5,7,7,9,19,14,11,12,15,17,20,29,35,42,53,67,80,95,113,129,150,192,203,219,272
E08000036,Wakefield,Yorkshire and The Humber,Yorkshire and The Humber,0,0,0,0,0,1,2,3,4,5,6,6,8,10,12,13,19,24,34,40,54,62,72,79,95,105,128
E08000037,Gateshead,North East,North East,0,0,0,0,1,1,1,1,0,1,1,1,2,3,4,5,10,12,23,31,44,52,65,80,95,108,108
E09000002,Barking and Dagenham,London,London,0,1,1,3,4,5,7,10,9,14,18,21,30,35,42,45,53,72,82,93,100,115,125,130,141,178,183
E09000003,Barnet,London,London,5,8,8,9,14,23,25,25,24,27,28,76,81,88,94,99,100,103,115,117,119,124,130,468,510,547,589
E09000004,Bexley,London,London,0,0,0,0,1,5,7,8,14,17,22,31,37,39,43,47,59,77,85,102,119,130,137,147,190,217,221
E09000005,Brent,London,London,3,3,3,3,4,14,20,20,24,45,66,75,108,128,143,170,192,228,265,295,321,359,384,506,559,601,663
E09000006,Bromley,London,London,1,2,2,2,4,5,7,11,23,32,40,52,63,67,76,93,125,149,188,217,268,277,295,321,366,405,434
E09000007,Camden,London,London,4,5,7,11,13,19,22,22,20,30,36,46,51,53,60,64,71,85,99,115,119,127,143,212,225,244,263
E09000008,Croydon,London,London,0,1,1,1,1,1,2,4,6,32,49,68,81,84,85,128,163,181,219,261,289,313,344,380,437,497,515
E09000009,Ealing,London,London,5,5,5,5,8,18,20,18,21,42,53,54,80,97,106,123,136,165,209,241,265,304,317,350,385,414,445
E09000010,Enfield,London,London,1,1,1,1,2,5,6,8,10,27,30,48,54,68,76,84,98,110,136,144,151,164,174,240,264,282,300
E09000011,Greenwich,London,London,0,1,1,1,1,10,13,18,19,19,33,41,54,61,67,77,97,118,128,148,168,185,200,205,247,277,283
E09000012,Hackney and City of London,London,London,2,3,4,4,5,11,13,20,22,29,32,45,52,64,72,74,85,119,134,151,177,189,213,221,266,298,304
E09000013,Hammersmith and Fulham,London,London,2,2,3,3,5,10,19,21,23,25,28,36,45,51,58,70,80,94,112,124,144,158,168,177,188,207,230
E09000014,Haringey,London,London,0,1,1,3,3,9,11,16,17,29,32,44,51,57,64,72,76,91,113,127,141,151,161,194,211,233,246
E09000015,Harrow,London,London,1,1,1,1,2,10,12,14,15,40,56,60,89,103,113,134,145,167,196,225,251,283,302,347,378,401,422
E09000016,Havering,London,London,2,2,2,2,1,2,5,5,7,7,14,19,30,35,39,44,47,70,82,101,105,118,127,133,142,183,194
E09000017,Hillingdon,London,London,1,1,3,3,4,7,10,13,16,21,29,34,50,63,78,85,90,103,129,140,163,192,209,222,250,274,295
E09000018,Hounslow,London,London,3,5,5,5,5,10,10,12,15,24,29,38,52,64,73,82,90,112,126,139,152,184,195,214,234,253,285
E09000019,Islington,London,London,0,1,1,1,1,3,4,11,11,29,35,45,48,54,59,66,70,96,120,131,141,152,161,174,188,210,226
E09000020,Kensington and Chelsea,London,London,8,13,15,19,21,27,40,43,49,55,57,66,75,81,85,91,97,110,116,123,141,170,180,191,208,222,240
E09000021,Kingston upon Thames,London,London,1,1,1,1,2,2,2,2,1,7,14,17,22,23,23,36,37,42,52,66,82,92,99,108,127,140,144
E09000022,Lambeth,London,London,3,4,5,7,9,25,26,26,43,61,81,103,118,127,134,188,212,248,276,318,358,366,418,462,508,563,577
E09000023,Lewisham,London,London,3,3,3,5,5,6,11,17,18,22,39,47,60,67,86,97,114,144,158,188,218,248,275,285,346,401,408
E09000024,Merton,London,London,1,2,2,2,4,5,9,12,13,34,39,45,56,56,57,84,98,108,128,141,161,172,186,208,235,262,271
E09000025,Newham,London,London,0,0,0,0,0,1,3,3,17,23,32,42,51,57,70,76,77,109,148,195,230,250,287,330,370,409,412
E09000026,Redbridge,London,London,1,1,1,1,1,1,1,2,4,7,18,27,42,45,51,57,67,89,115,128,143,161,177,196,212,247,252
E09000027,Richmond upon Thames,London,London,0,1,1,1,1,2,2,2,3,7,12,16,22,25,31,36,44,55,68,83,94,112,123,142,155,167,175
E09000028,Southwark,London,London,5,8,9,11,13,28,30,33,58,70,82,110,134,139,154,181,209,253,290,319,365,368,415,474,516,566,586
E09000029,Sutton,London,London,1,2,4,5,6,6,7,11,10,12,14,19,23,24,24,40,45,54,69,82,93,111,115,142,176,197,208
E09000030,Tower Hamlets,London,London,1,4,4,6,6,8,9,12,23,25,33,43,51,57,67,70,71,93,129,160,184,195,225,241,259,287,288
E09000031,Waltham Forest,London,London,1,1,1,1,1,2,2,4,7,14,17,23,38,50,56,61,63,95,130,154,182,196,230,260,290,309,313
E09000032,Wandsworth,London,London,3,3,3,7,7,9,17,20,21,59,75,98,107,110,113,155,184,204,228,265,287,314,337,360,397,434,454
E09000033,Westminster,London,London,3,5,6,12,13,24,35,37,58,68,78,99,110,117,134,143,152,172,189,206,226,241,269,301,311,322,338
E10000002,Buckinghamshire,South East,South East,1,2,2,4,7,13,15,12,23,27,39,39,41,44,45,50,59,66,106,115,128,140,147,195,212,222,255
E10000003,Cambridgeshire,East of England,East of England,0,1,1,1,1,4,7,12,12,14,15,16,17,20,30,37,41,47,68,85,100,109,129,141,166,172,191
E10000006,Cumbria,North West,North West,5,7,7,7,8,9,10,10,22,34,38,52,57,79,110,129,145,176,211,238,292,340,380,425,512,564,629
E10000007,Derbyshire,East Midlands,East Midlands,4,4,4,4,4,9,11,12,5,27,40,50,64,75,82,101,110,139,170,194,210,225,257,307,342,383,398
E10000008,Devon,South West,South West,12,13,13,13,14,14,15,20,24,25,26,30,42,43,46,48,50,55,65,84,91,101,121,128,147,163,181
E10000011,East Sussex,South East,South East,0,0,0,0,0,1,1,2,7,8,8,8,8,9,11,21,22,26,39,43,44,45,73,84,95,129,132
E10000012,Essex,East of England,East of England,5,5,6,6,9,8,14,20,21,27,31,43,45,53,67,80,88,130,166,213,244,301,380,420,517,547,597
E10000013,Gloucestershire,South West,South West,3,3,4,3,5,6,6,6,11,12,15,22,27,29,32,49,57,64,78,105,107,109,156,172,208,224,258
E10000014,Hampshire,South East,South East,8,10,13,15,20,41,53,55,69,77,87,107,138,156,171,207,251,267,317,384,432,498,567,652,699,749,809
E10000015,Hertfordshire,East of England,East of England,13,16,18,18,20,21,32,29,36,50,52,61,75,92,115,139,147,170,206,262,282,339,396,480,582,637,692
E10000016,Kent,South East,South East,4,5,5,9,11,11,11,12,18,21,25,32,45,48,64,72,96,112,182,230,253,296,383,455,531,621,704
E10000017,Lancashire,North West,North West,4,4,5,5,6,6,6,8,15,15,24,26,30,44,59,71,78,102,141,167,231,278,313,368,463,536,642
